game_id,rating_board,rating_value,descriptors
game_000059,igrs,13,"Kekerasan
Interaksi Daring"
game_000060,dejus,l,
game_000060,steam_germany,0,
game_000060,igrs,3,
game_000061,esrb,m,"Blood and Gore
Violence"
game_000061,pegi,18,Violence
game_000061,usk,18,
game_000061,nzoflc,r16,Violence
game_000061,fpb,18,
game_000061,dejus,18,Violência Extrema
game_000062,esrb,t,"Fantasy Violence
Blood
Mild Language
Use of Alcohol"
game_000062,dejus,12,Violência
game_000062,pegi,12,"Violence, Bad Language, In-Game Purchases"
game_000062,usk,12,
game_000062,oflc,m,"Supernatural themes, Violence, Online Interactivity, In-Game Purchases"
game_000062,cero,c,Violence
game_000062,kgrb,12,"Violence, Fear"
game_000062,fpb,13,H V L PPS CI
game_000062,csrr,C15,"Horror, Tobacco and Alcohol, Inappropriate Speech"
game_000062,steam_germany,12,"Gewalt
Alkohol / Tabak
Schimpfwörte"
game_000062,igrs,15,"Rokok dan/atau rokok elektronik, minuman beralkohol, narkotika, psikotropika, dan/atau zat adiktif lainnya
Penggunaan bahasa
Kekerasan"
game_000062,steam_australia,PG,"Mild Coarse Language
Mild Violence
Mild Drug Themes"
game_000063,esrb,m,
game_000063,pegi,18,Violence
game_000063,bbfc,15,Strong Violence
game_000063,usk,16,
game_000063,dejus,l,
game_000063,steam_germany,0,
game_000063,igrs,3,
game_000064,esrb,e10,"Fantasy Violence
Mild Language"
game_000064,oflc,pg,"Mild themes, online interactivity"
game_000064,dejus,10,Violência
game_000064,cadpa,16,本游戏适用于16周岁及以上用户
game_000064,usk,6,
game_000064,csrr,C12,"Violence, Horror, Improper Language"
game_000064,crl,6,
game_000064,steam_germany,6,"Schimpfwörte
Ängstigende Inhalte"
game_000064,igrs,18,"Horor
Penggunaan bahasa
Kekerasan"
game_000065,esrb,t,"Blood
Drug Reference
Fantasy Violence"
game_000065,dejus,14,"Armas com violência
Ato violência
Presença de sangue
Morte intencional"
game_000065,cadpa,12,本游戏适用于12周岁及以上用户
game_000065,usk,12,
game_000065,pegi,12,"Violence
Bad Language"
game_000066,dejus,16,"Violência,
Linguagem imprópria,
interação de usuários,
Compras on-line"
game_000066,esrb,m,"Violence, Blood, Strong Language"
game_000066,pegi,16,"Violence, Bad Language, In-Game Purchases"
game_000066,usk,16,
game_000066,oflc,ma15,"Strong Violence, Online Interactivity and In-Game Purchases"
game_000066,nzoflc,r16,Contains Violence
game_000066,kgrb,18,"Violence, Language"
game_000066,fpb,18,L V PPS CI
game_000066,csrr,R,
game_000066,crl,18,Contains or justifies Violence
game_000066,mda,M18,
game_000066,steam_germany,18,"Drastische Gewalt
Derbe Sprache"
game_000066,igrs,18,"Kekerasan
Penggunaan bahasa
Interaksi Daring"
game_000067,esrb,m,"Blood and Gore

Intense Violence

Language

Sexual Themes

Use of Alcohol"
game_000067,pegi,18,"Bad Language

Violence

PEGI Online"
game_000067,bbfc,18,
game_000067,usk,18,
game_000067,oflc,ma15,
game_000067,nzoflc,ma15,
game_000067,dejus,16,"Violence

Drugs

Sex"
game_000067,crl,18,
game_000067,kgrb,18,"내용정보표지사항: 폭력성
제명:  보더랜드 2
이용등급: 청소년이용불가
등급분류번호: CC-NP-120706-004
등급분류일자: 20120706
상호: 테이크투인터렉티브유한회사
제작.배급업 신고번호: 제 2009-00016호
----------------------------------
Game Descriptive: Violence
Title Name: Borderlands 2
Age: 18+
Certificate #: CC-NP-120706-004
Issue date: 20120706
Company Name:테이크투인터렉티브유한회사
Distributor No,: 제 2009-00016호"
game_000068,esrb,e,Online Interactions Not Rated
game_000068,pegi,3,Online
game_000068,usk,6,
game_000068,nzoflc,g,Online Interactivity
game_000068,cero,b,
game_000068,dejus,l,
game_000068,steam_germany,0,
game_000069,esrb,t,"Blood
Violence
Alcohol Reference
Mild Language"
game_000069,pegi,16,"Violence
In-Game Purchases"
game_000069,usk,16,
game_000069,oflc,m,"Violence
Online Interactivity"
game_000069,dejus,14,Violência
game_000070,esrb,m,"Intense Violence
Blood
Strong Language"
game_000070,pegi,16,"Bad Language
Violence
Online Gameplay"
game_000070,usk,16,
game_000070,dejus,16,"Violência
Interação de Usuários"
