game_id,genre_id
game_000542,23
game_000542,3
game_000542,2
game_000543,4
game_000543,23
game_000543,3
game_000543,28
game_000543,2
game_000544,1
game_000544,25
game_000544,23
game_000545,1
game_000545,25
game_000545,23
game_000545,28
game_000546,1
game_000546,23
game_000547,1
game_000547,3
game_000548,1
game_000549,1
game_000550,51
game_000550,58
game_000551,1
game_000551,25
game_000552,1
game_000552,25
game_000552,3
game_000552,2
game_000553,1
game_000554,1
game_000555,9
game_000555,28
game_000555,18
game_000556,9
game_000556,28
game_000556,18
game_000557,1
game_000557,23
game_000558,1
game_000558,23
game_000558,3
game_000559,1
game_000559,25
game_000560,28
game_000560,70
game_000561,1
game_000561,25
game_000561,3
game_000562,2
game_000563,1
game_000563,25
game_000564,1
game_000564,25
game_000565,28
game_000565,18
game_000566,28
game_000566,18
game_000567,9
game_000567,28
game_000567,18
game_000568,25
game_000568,23
game_000568,29
game_000568,3
game_000569,4
game_000569,2
game_000569,37
game_000570,1
game_000570,23
game_000571,1
game_000571,23
game_000571,28
game_000571,2
game_000571,37
game_000572,1
game_000572,23
game_000573,4
game_000573,23
game_000573,2
game_000573,37
game_000574,1
game_000574,23
game_000574,9
game_000574,28
game_000574,18
game_000575,1
game_000575,29
game_000575,37
game_000576,1
game_000576,25
game_000576,29
game_000576,3
game_000576,37
game_000577,1
game_000577,25
game_000577,23
game_000577,29
game_000578,1
game_000578,25
game_000578,23
game_000578,3
game_000578,2
game_000579,1
game_000579,23
game_000580,1
game_000580,37
game_000581,1
game_000581,25
game_000581,3
game_000582,1
game_000582,25
game_000582,4
game_000582,23
game_000583,1
game_000584,18
game_000585,28
game_000586,1
game_000586,25
game_000587,1
game_000587,29
game_000587,28
game_000588,23
game_000588,28
game_000589,1
game_000589,23
game_000589,37
game_000590,1
game_000590,23
game_000590,3
game_000591,1
game_000591,23
game_000591,29
game_000591,28
game_000591,2
game_000592,1
game_000592,25
game_000592,3
game_000593,1
game_000593,25
game_000594,1
game_000594,29
game_000594,37
game_000595,25
game_000596,23
game_000596,2
game_000597,1
game_000598,28
game_000598,37
game_000599,1
game_000600,1
game_000600,4
game_000600,2
game_000600,37
game_000601,1
game_000602,1
game_000602,25
game_000602,23
game_000602,3
