game_id,dlc_steam_appid
game_000035,1371401
game_000035,1371402
game_000035,1371403
game_000035,1371404
game_000035,1371405
game_000035,1371406
game_000035,1371407
game_000035,1371408
game_000035,1371409
game_000035,1371420
game_000035,1377530
game_000035,1287083
game_000035,1351860
game_000035,1351861
game_000035,1371400
game_000035,1287061
game_000035,1472030
game_000035,1390430
game_000038,325724
game_000038,2971380
game_000038,3454290
game_000038,1300710
game_000038,748340
game_000038,748341
game_000038,798540
game_000038,798541
game_000038,798543
game_000038,1034630
game_000038,325724
game_000038,335810
game_000038,302101
game_000038,435111
game_000038,325723
game_000038,347090
game_000038,798542
game_000038,436080
game_000038,436081
game_000038,436082
game_000038,1112521
game_000038,1272090
game_000038,1272090
game_000038,1272090
game_000038,1354960
game_000038,1184350
game_000038,1174580
game_000038,1184351
game_000038,1454750
game_000038,1468290
game_000038,1498210
game_000038,1524890
game_000038,1543420
game_000038,1599030
game_000038,1647900
